chr,start,end,length,abs_summit,pileup,separation,fold_enrichment,-LOG10(qvalue),name
1,437760,438058,299,437888,37,0,9.3227,22.63956,HMGB1_HUV_peak_4
1,544715,546123,1409,545141,36,106657,6.03905,14.7866,HMGB1_HUV_peak_5
1,1950779,1951107,329,1950995,21,1404656,5.43014,8.04002,HMGB1_HUV_peak_45
1,3560192,3560983,792,3560832,17,1609085,5.90026,7.47386,HMGB1_HUV_peak_60
1,3562001,3562198,198,3562121,15,1018,5.24467,5.76348,HMGB1_HUV_peak_61
1,8560960,8561779,820,8561220,23,4998762,5.88802,9.59063,HMGB1_HUV_peak_92
1,8763049,8763638,590,8763267,69,201270,5.06624,23.14935,HMGB1_HUV_peak_93
1,8877917,8878222,306,8878033,63,114279,6.12458,25.73168,HMGB1_HUV_peak_96
1,10927045,10927493,449,10927288,52,2048823,5.45518,18.91034,HMGB1_HUV_peak_115
1,11538896,11539174,279,11539002,66,611403,5.71217,25.14255,HMGB1_HUV_peak_119
1,12290026,12290337,312,12290158,62,750852,5.59822,23.12812,HMGB1_HUV_peak_127
1,17287328,17287655,328,17287515,71,4996991,6.39797,30.25146,HMGB1_HUV_peak_150
1,17764039,17765006,968,17764819,65,476384,5.15963,22.23435,HMGB1_HUV_peak_153
1,21616629,21616945,317,21616774,69,3851623,5.26146,24.12521,HMGB1_HUV_peak_170
1,21714931,21715654,724,21715412,24,97986,8.42123,14.43814,HMGB1_HUV_peak_173
1,21835605,21835982,378,21835814,47,119951,5.21577,16.31734,HMGB1_HUV_peak_174
1,24320192,24320432,241,24320301,19,2484210,6.73699,9.5515,HMGB1_HUV_peak_195
1,25126064,25126976,913,25126193,34,805632,5.37443,12.36602,HMGB1_HUV_peak_199
1,27022146,27022462,317,27022317,92,1895170,6.7893,41.4015,HMGB1_HUV_peak_213
1,27145191,27145586,396,27145339,32,122729,5.87805,12.89191,HMGB1_HUV_peak_216
1,27390715,27391050,336,27390906,20,245129,6.63391,9.77416,HMGB1_HUV_peak_219
1,27481210,27481670,461,27481523,73,90160,6.57569,31.9185,HMGB1_HUV_peak_220
1,27895161,27895445,285,27895301,43,413491,6.55817,18.95918,HMGB1_HUV_peak_225
1,27986325,27986597,273,27986468,47,90880,5.59477,17.59857,HMGB1_HUV_peak_228
1,28179716,28180070,355,28179889,27,193119,5.78639,10.8505,HMGB1_HUV_peak_230
1,28180698,28181168,471,28180987,25,628,5.09661,8.69558,HMGB1_HUV_peak_231
1,31904661,31904979,319,31904815,40,3723493,8.93489,23.41476,HMGB1_HUV_peak_248
1,32052453,32052862,410,32052684,38,147474,5.27153,13.45005,HMGB1_HUV_peak_249
1,33005024,33005721,698,33005198,59,952162,6.14713,24.19184,HMGB1_HUV_peak_258
1,33440031,33440346,316,33440205,23,434310,6.07129,9.94325,HMGB1_HUV_peak_265
1,33517841,33518552,712,33518062,28,77495,6.24721,12.18227,HMGB1_HUV_peak_266
1,33722145,33722577,433,33722389,76,203593,5.01465,25.25849,HMGB1_HUV_peak_268
1,37546817,37547024,208,37546933,15,3824240,5.24467,5.76348,HMGB1_HUV_peak_290
1,39699934,39700406,473,39700039,30,2152910,7.47006,15.47483,HMGB1_HUV_peak_303
1,40042000,40042312,313,40042171,81,341594,5.00599,26.91182,HMGB1_HUV_peak_306
1,40465542,40465758,217,40465637,16,423230,5.57246,6.60253,HMGB1_HUV_peak_309
1,42501371,42501698,328,42501517,76,2035613,5.18787,26.21586,HMGB1_HUV_peak_323
1,44444688,44445216,529,44445008,73,1942990,5.73175,27.93668,HMGB1_HUV_peak_335
1,44773904,44774128,225,44774038,15,328688,7.89984,9.78189,HMGB1_HUV_peak_336
1,45097646,45097996,351,45097762,88,323518,5.60888,33.04799,HMGB1_HUV_peak_339
1,45688761,45688955,195,45688810,26,590765,5.88395,10.67984,HMGB1_HUV_peak_344
1,46269066,46269796,731,46269386,64,580111,5.29362,22.50488,HMGB1_HUV_peak_345
1,46706754,46708156,1403,46707589,38,436958,5.45291,13.96155,HMGB1_HUV_peak_347
1,46998639,46999250,612,46998863,49,290483,5.63397,18.46008,HMGB1_HUV_peak_349
1,47133681,47134283,603,47134106,57,134431,5.67059,21.55284,HMGB1_HUV_peak_350
1,47697610,47698064,455,47697880,54,563327,5.37728,19.32746,HMGB1_HUV_peak_352
1,51443660,51443961,302,51443808,48,3745596,5.04347,16.04685,HMGB1_HUV_peak_362
1,55027224,55027812,589,55027495,30,3583263,8.25311,16.98014,HMGB1_HUV_peak_379
1,57233413,57233604,192,57233523,18,2205601,7.37879,10.16286,HMGB1_HUV_peak_383
1,61547819,61548231,413,61548044,83,4314215,5.12809,28.33298,HMGB1_HUV_peak_388
1,66258533,66258941,409,66258724,31,4710302,6.97358,14.90779,HMGB1_HUV_peak_404
1,87800860,87801310,451,87801095,56,21541919,5.06506,18.77268,HMGB1_HUV_peak_426
1,90308888,90309176,289,90309064,59,2507578,6.17567,24.30151,HMGB1_HUV_peak_431
1,101194605,101194862,258,101194765,15,10885429,6.30409,7.40112,HMGB1_HUV_peak_455
1,113182339,113182969,631,113182847,33,11987477,7.40942,16.69203,HMGB1_HUV_peak_478
1,113183124,113183320,197,113183247,21,155,5.70747,8.54543,HMGB1_HUV_peak_479
1,113316250,113316609,360,113316430,44,132930,5.87098,17.3608,HMGB1_HUV_peak_483
1,113441817,113442070,254,113441925,19,125208,5.77891,7.97424,HMGB1_HUV_peak_485
1,113612642,113613312,671,113612798,38,170572,5.45291,13.96155,HMGB1_HUV_peak_487
1,115022384,115022581,198,115022491,19,1409072,5.18861,6.94024,HMGB1_HUV_peak_490
1,117971958,117972381,424,117972136,23,2949377,5.23018,8.32184,HMGB1_HUV_peak_499
1,144340940,144341334,395,144341106,63,26368559,9.63933,38.0704,HMGB1_HUV_peak_504
1,145668193,145668577,385,145668475,20,1326859,6.43385,9.44861,HMGB1_HUV_peak_508
1,147932129,147932471,343,147932283,62,2263552,5.3543,22.06796,HMGB1_HUV_peak_510
1,149132843,149133125,283,149132970,31,1200372,6.97358,14.90779,HMGB1_HUV_peak_512
1,150700943,150701247,305,150701129,22,1567818,7.49889,12.02219,HMGB1_HUV_peak_517
1,155161116,155161715,600,155161408,154,4459869,6.30511,64.80138,HMGB1_HUV_peak_538
1,156527640,156527959,320,156527803,25,1365925,8.47701,14.99732,HMGB1_HUV_peak_548
1,161102273,161102577,305,161102402,94,4574314,5.30181,33.35521,HMGB1_HUV_peak_558
1,161431916,161433720,1805,161432308,250,329339,5.2111,87.68438,HMGB1_HUV_peak_564
1,161439287,161441146,1860,161439682,243,5567,5.01242,81.98287,HMGB1_HUV_peak_565
1,180500277,180500598,322,180500322,18,19059131,5.332,6.86448,HMGB1_HUV_peak_592
1,181058041,181058936,896,181058614,82,557443,5.23076,28.58905,HMGB1_HUV_peak_593
1,193831334,193831554,221,193831419,38,12772398,8.97219,22.4401,HMGB1_HUV_peak_605
1,215345328,215345519,192,215345485,20,21513774,5.89326,8.52454,HMGB1_HUV_peak_655
1,216737583,216737774,192,216737632,16,1392064,5.57246,6.60253,HMGB1_HUV_peak_657
1,222661857,222662208,352,222662042,28,5924083,5.75876,11.14895,HMGB1_HUV_peak_664
1,223743910,223744254,345,223744063,42,1081702,5.66155,15.98802,HMGB1_HUV_peak_667
1,224622156,224622514,359,224622355,71,877902,7.85165,36.29375,HMGB1_HUV_peak_672
1,225997796,225998086,291,225997951,94,1375282,7.14055,44.19352,HMGB1_HUV_peak_675
1,227505522,227505961,440,227505792,68,1507436,5.00128,22.48538,HMGB1_HUV_peak_687
