	all	with	with_clust1	with_clust2	with_clust3	with_clust4	with_clust5	wo	wo_clust1	wo_clust2	wo_clust3	wo_clust4	wo_clust5
UP00079_1_Esrra_primary	0.0189269745016	0.99999999991	1.0	1.0	1.0	1.0	0.999999777897	0.000358792266419	1.0	1.0	1.0	0.999999999934	0.0219439491973
MA0258.2.ESR2	0.0	0.0	0.0267610109327	6.09156019293e-07	2.29771757176e-12	2.36598962644e-10	0.0	0.0	0.0140817961472	0.00934078220443	1.0417277041e-09	8.40201442309e-07	0.0
UP00116_1_Rhox6_4251.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00104_1_Hmx1_3423.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0152.1.NFATC2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00228_1_Bapx1_2343.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0498.1.Meis1	1.95954363846e-13	8.62698095627e-07	0.828382780559	0.999999999999	0.974170682707	0.999983936217	0.0108678796358	2.14401829624e-11	0.999999999993	1.0	0.015580885272	0.213359285389	8.74521138727e-07
MA0163.1.PLAG1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.15744159812e-08	0.0	0.0	0.0
MA0078.1.Sox17	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0137.3.STAT1	0.0	1.69557470886e-06	1.0	1.0	1.14087691516e-07	1.0	1.88517048758e-05	2.18737637447e-07	0.79932630873	0.999999998705	0.067834464541	0.0441630552985	2.90854283423e-05
UP00107_1_Nkx2-4_3074.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0156.1.FEV	0.0	0.0	0.185292999261	0.725486540796	0.0	4.26978452595e-10	0.0	0.0	3.67426661319e-08	0.00113600683436	0.0	0.0	0.0
MA0111.1.Spz1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
