X	wo_REL
-150	0.0661157024793
-149	0.0732782369146
-148	0.0573002754821
-147	0.0721763085399
-146	0.0666666666667
-145	0.0694214876033
-144	0.0600550964187
-143	0.0600550964187
-142	0.0710743801653
-141	0.0699724517906
-140	0.0694214876033
-139	0.0650137741047
-138	0.0732782369146
-137	0.0644628099174
-136	0.0677685950413
-135	0.0710743801653
-134	0.0815426997245
-133	0.0732782369146
-132	0.0754820936639
-131	0.0666666666667
-130	0.06391184573
-129	0.070523415978
-128	0.0683195592287
-127	0.070523415978
-126	0.0848484848485
-125	0.0699724517906
-124	0.0815426997245
-123	0.0936639118457
-122	0.065564738292
-121	0.0732782369146
-120	0.0776859504132
-119	0.0683195592287
-118	0.0732782369146
-117	0.0683195592287
-116	0.0947658402204
-115	0.0760330578512
-114	0.0754820936639
-113	0.0870523415978
-112	0.0980716253444
-111	0.0837465564738
-110	0.0804407713499
-109	0.0909090909091
-108	0.0771349862259
-107	0.0765840220386
-106	0.0898071625344
-105	0.0798898071625
-104	0.0826446280992
-103	0.147658402204
-102	0.0749311294766
-101	0.0809917355372
-100	0.0997245179063
-99	0.0765840220386
-98	0.0826446280992
-97	0.095867768595
-96	0.0870523415978
-95	0.0892561983471
-94	0.0936639118457
-93	0.106336088154
-92	0.0942148760331
-91	0.10303030303
-90	0.0980716253444
-89	0.0732782369146
-88	0.0859504132231
-87	0.0942148760331
-86	0.0804407713499
-85	0.0798898071625
-84	0.146005509642
-83	0.143801652893
-82	0.0931129476584
-81	0.0848484848485
-80	0.0826446280992
-79	0.0953168044077
-78	0.100826446281
-77	0.10303030303
-76	0.0942148760331
-75	0.0942148760331
-74	0.0936639118457
-73	0.0898071625344
-72	0.104132231405
-71	0.0969696969697
-70	0.0980716253444
-69	0.0804407713499
-68	0.0931129476584
-67	0.0887052341598
-66	0.108539944904
-65	0.115702479339
-64	0.0738292011019
-63	0.0782369146006
-62	0.0842975206612
-61	0.0798898071625
-60	0.0876033057851
-59	0.104132231405
-58	0.0925619834711
-57	0.104683195592
-56	0.10523415978
-55	0.117355371901
-54	0.120661157025
-53	0.0947658402204
-52	0.0876033057851
-51	0.0942148760331
-50	0.0898071625344
-49	0.0887052341598
-48	0.0842975206612
-47	0.0931129476584
-46	0.0831955922865
-45	0.102479338843
-44	0.136639118457
-43	0.120661157025
-42	0.107438016529
-41	0.0969696969697
-40	0.0848484848485
-39	0.10303030303
-38	0.107438016529
-37	0.0936639118457
-36	0.109090909091
-35	0.110743801653
-34	0.0870523415978
-33	0.0876033057851
-32	0.0793388429752
-31	0.0964187327824
-30	0.0969696969697
-29	0.0920110192837
-28	0.099173553719
-27	0.0980716253444
-26	0.0931129476584
-25	0.0947658402204
-24	0.109641873278
-23	0.128925619835
-22	0.099173553719
-21	0.0980716253444
-20	0.109090909091
-19	0.0914600550964
-18	0.100275482094
-17	0.103581267218
-16	0.109090909091
-15	0.106887052342
-14	0.0964187327824
-13	0.0903581267218
-12	0.0837465564738
-11	0.110192837466
-10	0.129476584022
-9	0.0964187327824
-8	0.0865013774105
-7	0.108539944904
-6	0.0798898071625
-5	0.0947658402204
-4	0.114049586777
-3	0.095867768595
-2	0.065564738292
-1	0.035261707989
0	0.0495867768595
1	0.0782369146006
2	0.100275482094
3	0.109641873278
4	0.101928374656
5	0.0936639118457
6	0.0898071625344
7	0.0815426997245
8	0.0947658402204
9	0.106336088154
