	all	with	with_clust1	with_clust2	with_clust3	with_clust4	with_clust5	wo	wo_clust1	wo_clust2	wo_clust3	wo_clust4	wo_clust5
UP00079_1_Esrra_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0258.2.ESR2	5.99331695383e-11	3.65993428897e-08	0.996529619313	0.785633535355	0.27168208275	0.490579214919	0.983978236176	0.00899391816832	1.0	1.0	1.0	1.0	0.0279537810655
UP00116_1_Rhox6_4251.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00104_1_Hmx1_3423.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0152.1.NFATC2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00228_1_Bapx1_2343.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0498.1.Meis1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.119615869525	1.0	1.0	1.0	1.0	0.27338740687
MA0163.1.PLAG1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.06261699229e-14	0.0	0.0	0.0
MA0078.1.Sox17	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0137.3.STAT1	1.44514982037e-06	0.999886340199	1.0	1.0	0.999999999792	1.0	0.999999999895	1.80504600976e-05	1.0	1.0	0.982902059311	0.164447820342	3.36295599103e-05
UP00107_1_Nkx2-4_3074.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0156.1.FEV	0.0	0.0	0.00847828186144	0.517470386163	0.0	1.03394262041e-08	2.73114864058e-12	0.0	7.56646002997e-06	0.000389309945453	0.0	0.0	0.0
MA0111.1.Spz1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00106_1_Vax2_3500.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0528.1.ZNF263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UP00051_1_Sox8_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00257_1_Shox2_2641.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0063.1.Nkx2-5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00250_1_Irx5_2385.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00004_1_Sox14_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00206_1_Hoxb7_3953.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00075_1_Sox15_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00226_1_Mrg1_2246.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0470.1.E2F4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MA0499.1.Myod1	0.0	0.0	0.936006026641	0.000236713216339	7.00384195085e-12	2.73744333157e-06	3.07920487774e-07	0.0	0.334566440978	0.136591414739	0.0101756453071	0.00308567194638	0.0
MA0472.1.EGR2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UP00023_1_Sox30_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0019.1.Ddit3::Cebpa	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00244_1_Tlx2_3498.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00159_1_Six2_2307.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00100_1_Gata6_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0072.1.RORA_2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0485.1.Hoxc9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00183_1_Hoxa13_3126.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00253_1_Rax_3443.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00238_1_Nkx6-3_3446.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00201_1_Emx2_3420.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00230_1_Dlx5_3419.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00168_1_Hoxd8_2644.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00391_1_Hoxa3_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0507.1.POU2F2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0599.1.KLF5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E2A-Homer	0.0	0.0	0.211512333374	3.65688099997e-05	0.0	4.5852210917e-13	9.14823772291e-13	0.0	7.06558567343e-06	0.0052026340099	1.52411416821e-12	5.52891066263e-13	0.0
UP00182_1_Hoxa6_1040.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00099_1_Ascl2_primary	0.0	0.0	0.888426124224	5.51312240304e-09	1.10687958799e-09	6.32450591898e-09	2.84918755256e-11	0.0	0.145879273383	0.000397670062772	0.00107427718407	0.000413109876136	5.31574784191e-13
MA0600.1.RFX2	0.0	0.0	0.999751825201	0.150250633471	1.90417053108e-05	1.32901689653e-10	0.0069880849358	0.0	0.960294471701	0.998675439995	5.90503076103e-06	2.95019324525e-08	2.66427545481e-06
UP00078_1_Arid3a_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00080_1_Gata5_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00249_1_Nkx2-5_3436.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00008_3_Six6_2267.4	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00024_1_Glis2_primary	4.13002965161e-14	6.83897383169e-13	0.23570122591	0.000714058189428	0.152272622699	0.0179382518903	0.0286952293455	0.474275483803	0.999982173761	1.0	0.999999999991	1.0	1.0
UP00025_1_Foxk1_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0500.1.Myog	0.0	0.0	0.0883242420775	1.2679365426e-05	0.0	3.47826212277e-11	0.0	0.0	4.66865611205e-05	0.0114806683952	2.27551311127e-12	5.66512303735e-09	0.0
MA0461.1.Atoh1	0.0	0.0	0.0147139772996	0.0678177730009	4.21295354158e-09	0.0291222998463	1.68842888837e-06	0.0	0.35517054776	0.0135279730373	3.44845308975e-07	2.88511528668e-07	0.0
MA0161.1.NFIC	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0035.3.Gata1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00248_1_Pax7_3783.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00089_3_Tcf1_2666.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0029.1.Mecom	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00406_1_Spdef_primary	0.0	0.0	0.992210654824	1.0	1.16113341164e-10	3.07297378954e-06	0.00198288917343	0.0	0.058206936774	0.99879785673	1.90788784771e-09	0.0	0.0
UP00047_1_Zbtb7b_primary	0.0	1.28563826252e-13	0.00617410202034	0.0130368215568	0.995472465773	0.000126976233221	0.00804581800287	0.677774208243	0.931907226045	1.0	1.0	1.0	0.999992655875
MA0521.1.Tcf12	0.0	0.0	0.72190748991	0.0132098047267	0.0	1.83993370317e-07	0.0	0.0	0.000270392316112	0.136591414739	8.06271716058e-11	6.61840912075e-08	0.0
UP00267_1_Otx2_3441.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00030_1_Sox11_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00018_1_Irf4_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00084_1_Gmeb1_primary	0.0	8.52651282912e-13	0.790653171206	1.0	0.00818679446976	3.64854714552e-07	0.807671938699	0.0	0.630808795444	0.317449603153	0.982713156361	0.00915022570168	0.142994615001
MA0150.2.Nfe2l2	0.0	1.78124182071e-11	0.999421833561	1.0	0.00082643280451	0.480619629556	1.84297022088e-13	0.0	0.0148012433405	0.389188537048	0.0	7.28430815666e-09	0.0
MA0018.2.CREB1	1.00772565625e-07	0.999999970922	1.0	1.0	0.344868102897	1.0	1.0	6.27467950931e-08	1.0	0.989440050493	0.99999999948	0.0112550933025	0.0207814439532
UP00081_1_Mybl1_primary	0.369049380961	0.999999999999	1.0	1.0	1.0	0.99999999658	1.0	0.246875486643	1.0	1.0	1.0	0.999988488384	0.751157867951
MA0067.1.Pax2	0.0	0.0	2.62962984721e-11	1.10974562872e-11	0.0	0.0	4.5852210917e-13	0.0	1.86864845708e-07	1.25159261177e-07	9.61453139325e-14	0.0	0.0
UP00155_1_Hmx2_3424.3	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0068.1.Pax4	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00041_1_Foxj1_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00142_1_Uncx4.1_2281.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0122.1.Nkx3-2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00003_1_E2F3_primary	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00022348208774	0.0	0.0	0.0
MA0095.2.YY1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00243_1_Isx_3445.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00035_1_Hic1_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00160_1_Obox3_3439.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00147_1_Nkx2-6_3437.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00097_1_Mtf1_primary	0.0	4.2965631053e-14	0.999999892531	0.000214393270256	0.745973939376	4.02550621029e-05	0.327991969436	6.46087627842e-10	0.194262998609	1.0	0.00537330552327	0.00142633904773	0.391935733918
UP00031_1_Zbtb3_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00177_1_Hoxd12_3481.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0492.1.JUND.var.2	0.0	1.0	0.959009814355	1.0	0.999999999998	1.0	1.0	0.0	0.924649947425	0.281189929422	7.27836877656e-07	0.00655183619338	4.41868763801e-12
MA0148.3.FOXA1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00064_1_Sox18_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00237_1_Otp_3496.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00029_1_Tbp_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00166_1_Barhl1_2590.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00012_1_Bbx_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0041.1.Foxd3	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00240_1_Cdx1_2245.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0073.1.RREB1	0.0	0.0	1.09801057135e-12	0.0	0.0	0.0	0.0	0.0	2.2685853196e-11	5.8048043261e-08	5.59082928415e-05	1.51559386741e-06	6.49649067874e-07
UP00211_1_Pou3f3_3235.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00040_1_Irf5_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0070.1.PBX1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00212_1_Lhx5_2279.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0077.1.SOX9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.135557481644
UP00070_1_Gcm1_primary	0.0	0.0	0.000654062417756	0.861263332463	1.18686522976e-05	0.0107542987019	0.744076624337	2.41879372087e-09	1.0	1.0	0.993825395506	0.246075041671	9.84698977657e-06
UP00179_1_Pou2f3_3986.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00027_1_Osr1_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0468.1.DUX4	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0007.2.AR	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00073_1_Foxa2_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00007_1_Egr1_primary	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MA0114.2.HNF4A	0.0025342244188	0.363860839261	1.0	1.0	0.966159658848	1.0	0.999999998418	0.180975834315	1.0	0.999999999979	0.891011030963	1.0	0.999019938666
MA0140.2.TAL1::GATA1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00105_1_Pou3f4_3773.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0132.1.Pdx1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0036.2.GATA2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00252_1_Hoxc5_2630.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00020_1_Atf1_primary	0.0	0.0	1.22899743259e-05	8.74895797747e-05	3.75965925059e-12	0.0	0.00063946881043	0.0	1.42357048372e-09	0.0638487816994	6.71462885293e-13	0.0	0.0
UP00171_1_Msx3_3206.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00010_1_Tcfap2b_primary	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3426082468e-09	0.00679396370606	1.71456127074e-09	9.25926002537e-14	0.0
UP00069_1_Sox1_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00054_1_Tcf7_primary	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0059.1.MYC::MAX	0.0	8.04451838476e-10	0.987885407285	1.0	0.000236012623094	0.164923601161	0.455694817439	2.11091144564e-11	0.993193753177	0.999948087653	0.00939728267197	0.00678151101988	0.0926600040736
UP00227_1_Duxl_1286.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0597.1.THAP1	0.0	0.0	0.00871313704589	1.1685514778e-09	3.45255002721e-06	4.60742555219e-14	4.62963001269e-14	0.0	5.67187938898e-05	1.38982398146e-07	0.00408182364243	9.0568141542e-08	4.45199432875e-14
MA0099.2.JUN::FOS	0.0	0.0	4.82947015712e-14	5.61495294704e-10	0.0	0.0	0.0	0.0	5.33684207937e-13	9.9719505875e-08	0.0	0.0	0.0
MA0149.1.EWSR1-FLI1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00261_1_Lhx4_1719.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
MA0516.1.SP2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UP00192_1_Six1_0935.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00203_1_Pknox1_2364.2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
UP00103_1_Jundm2_primary	0.0	0.0	0.000283971007686	0.00223660025329	1.00967740835e-08	0.0	2.70887191254e-05	0.0	1.40171534047e-07	0.000852920243149	1.56807899998e-12	7.62989671443e-12	0.0
