FACTOR	P-VALUE	CORR.P-VALUE	A	B	C	D	FREQ	BACK.FREQ.	GENES
MA0506.1.NRF1	1.2060e-69	9.4909e-67	326	1686	41169	728408	16.2%	5.35%	LSMD1,DAND5,KLK15,SCRT1,SLC30A4,SEMA4D,AHDC1,ARHGAP22,ZSWIM6,SPIN1,VRK1,EXT1,AC005592.2,CTD-2383M3.1,EDEM2,KCNN1,SEC24B,ADCY6,ARID1B,SYT7,ELK3,FAT1,RP11-395N3.2,PROS1,LRP12,NDNF,CRADD,USP49,L3MBTL3,AP002348.1,HRH1,SNX30,RP11-127H5.1,TCF4,RP11-328M4.3,RP11-328M4.2,PHRF1,AC025627.7,FAN1,COL4A1,CCDC9,NUFIP2,MIR3191,TFAP4,GNAS,MED13L,NOG,GPC3,AC109333.10,RP11-276E15.4,SEC24B-AS1,LAMTOR3,EPHX1,TLE2,SMAD1,SMAD3,TBX1,ATXN7L1,IKZF2,SLC52A1,THSD7A,NAA25,PRPF40B,RP11-1113L8.1,ZNF341,MKNK1-AS1,DUSP4,RP11-230C9.2,BCOR,ANKS1B,TRPS1,GRIK4,IRS1,PDE4B,AC011523.2,ZNF710,RPS19,LIMS2,RP3-525N10.2,GLTSCR1L,ZNF124,DMBX1,ARHGAP42,MLLT6,MLH3,TMEM255B,C12ORF49,VPS13D,RP1-27O5.3,COL18A1,CROCC,EBF4,CTB-58E17.3,TNFRSF11A,INO80D,RN7SL783P,SHANK3,SHANK1,SLC20A2,BAI3,USPL1,MCC,RNFT2,ROCK2,RP4-553F4.2,MCU,NFIX,IGDCC4
MA0162.2.EGR1	2.8637e-56	1.1269e-53	503	1509	93298	676279	25.0%	12.12%	LSMD1,FAM160A1,CTD-2383M3.1,KLK15,SCRT1,SLC30A4,SEMA4D,ARHGAP22,ZSWIM6,SPIN1,CAPN8,RP11-610P16.1,VRK1,AC005592.2,EDEM2,KCNN1,SEC24B,CSNK2A2,ADCY6,BMP4,ARID1B,ARID1A,SYT7,ELK3,FAT1,RP11-459F6.1,RP11-535A5.1,SNX30,RP11-770J1.4,EDIL3,RP11-395N3.2,RPL39P33,NOVA2,PROS1,RP1-27O5.3,USP49,SLC9A1,L3MBTL3,AP002348.1,HRH1,DLX4,ZNF513,RP11-127H5.1,TCF4,TMEM92,PHRF1,AC025627.7,ASIC2,COL4A1,CCDC9,NUFIP2,MIR3191,TFAP4,GNAS,MED13L,NOG,RP4-593H12.1,MGAT3,AC109333.10,RP11-276E15.4,ATXN2,SEC24B-AS1,LAMTOR3,EPHX1,SMAD1,SMAD3,SHROOM3,TBX1,ATXN7L1,IKZF2,SLC52A1,THSD7A,BCAP29,PRPF40B,RP11-1113L8.1,ZNF341,MKNK1-AS1,DUSP4,EFNA5,RP11-420G6.4,PTCHD2,BCOR,ANKS1B,RP11-252I13.2,TRPS1,RRP36,SNRK,GRIK4,IRS1,FOXP1,PDE4B,AC011523.2,KCNC1,RPS19,LIMS2,RP3-525N10.2,AP1S3,GLTSCR1L,RERE,DMBX1,ARHGAP42,MLLT6,TMEM255B,C12ORF49,RP11-298I3.5,GPC3,LRP12,KMT2A,COL18A1,CROCC,EBF4,CTB-58E17.3,TNFRSF11A,INO80D,RN7SL783P,SHANK3,SHANK1,SLC20A2,RP11-230C9.2,BAI3,USPL1,MXI1,ZNF710,RNFT2,ROCK2,RP4-553F4.2,MCU,ATXN1
MA0470.1.E2F4	3.4162e-48	8.9619e-46	263	1749	36529	733048	13.07%	4.75%	LSMD1,KLK15,RP11-105N14.1,SLC30A4,SEMA4D,RP11-52B19.8,ZSWIM6,MBNL3,SPIN1,CAPN8,VRK1,AC005592.2,SEC24B,CSNK2A2,BMP4,SYT7,RP1-27O5.3,ELK3,L3MBTL3,RP11-459F6.1,SNX30,RP11-395N3.2,TCF4,NOVA2,LRP12,NDNF,RP11-459E5.1,USP49,EGR3,FAT1,AP002348.1,HRH1,ZNF513,RP11-127H5.1,FOXO1B,TMEM92,COL4A1,CCDC9,NUFIP2,MIR3191,TFAP4,GNAS,MED13L,RP4-593H12.1,AC109333.10,RP11-276E15.4,ATXN2,SEC24B-AS1,ATXN1,TLE2,SMAD3,IKZF2,SLC52A1,BCAP29,RP11-52B19.10,PRPF40B,ZNF341,MKNK1-AS1,DUSP4,BCOR,ANKS1B,GRIK4,IRS1,AC011523.2,PHF15,RPS19,RP3-525N10.2,GLTSCR1L,DMBX1,RP1-309F20.3,MLH3,TMEM255B,AHDC1,VPS13D,KMT2A,COL18A1,EBF4,RN7SL783P,SHANK1,SLC20A2,BAI3,USPL1,MXI1,MCC,ROCK2,RP4-553F4.2,MCU,LAMTOR3
MA0732.1.EGR3	1.8952e-40	3.7288e-38	258	1754	39339	730238	12.82%	5.11%	FAM160A1,SH3RF3-AS1,CTD-2383M3.1,KLK15,SCRT1,SLC30A4,SEMA4D,RP11-52B19.8,C12ORF49,ZSWIM6,MBNL3,SPIN1,RP11-610P16.1,VRK1,AC005592.2,SNX30,CSNK2A2,ADCY6,ARID1B,ELK3,L3MBTL3,RP11-459F6.1,RP11-535A5.1,RPL39P33,NOVA2,LRP12,CRADD,RP11-459E5.1,USP49,SLC9A1,EGR3,FAT1,AP002348.1,KMT2A,HRH1,DLX4,ZNF513,RP11-127H5.1,TCF4,NUFIP2,TFAP4,MED13L,NOG,RP4-593H12.1,MGAT3,RP11-276E15.4,ATXN2,LAMTOR3,TLE2,SMAD1,SMAD3,TBX1,IKZF2,BCAP29,RP11-52B19.10,PRPF40B,ZNF341,DUSP4,RP11-230C9.2,PTCHD2,BCOR,ANKS1B,TRPS1,SNRK,GRIK4,AC011523.2,KCNC1,LIMS2,RP3-525N10.2,AP1S3,GLTSCR1L,ARHGAP42,MLLT6,AHDC1,RP11-298I3.5,GPC3,RP1-27O5.3,EBF4,CTB-58E17.3,TNFRSF11A,INO80D,SHANK3,SHANK1,SLC20A2,BAI3,USPL1,MXI1,ZNF710,RNFT2,ROCK2,RP4-553F4.2,ATXN1,IGDCC4
UP00065_1_Zfp161_primary	1.0768e-34	1.6949e-32	150	1862	17697	751880	7.46%	2.3%	AC011523.2,FAM160A1,RP11-395N3.2,BCOR,DAND5,SMAD3,RP3-525N10.2,RP11-105N14.1,AP1S3,SLC30A4,GLTSCR1L,IKZF2,SLC52A1,USP49,TRPS1,EGR3,MLLT6,AP002348.1,HRH1,DLX4,SNX30,GPR160,SPIN1,RP11-127H5.1,RP11-610P16.1,LRP12,RP11-459E5.1,FAN1,EBF4,CTB-58E17.3,COL4A1,SEC24B,ANKS1B,RN7SL783P,SLC20A2,ADCY6,BAI3,GNAS,MED13L,ARID1A,GRIK4,IRS1,ROCK2,SYT7,ELK3,L3MBTL3,AC109333.10,RP11-276E15.4,KLK15,EDEM2,PDE4B,NFIX,IGDCC4,SEC24B-AS1,LAMTOR3
MA0003.3.TFAP2A	8.7474e-31	1.1474e-28	184	1828	26960	742617	9.15%	3.5%	LSMD1,FAM160A1,RP11-395N3.2,AL353803.1,RP11-610P16.1,ZNF710,PROS1,CTD-2383M3.1,SMAD3,LIMS2,RP3-525N10.2,TBX1,BCOR,SLC30A4,SEMA4D,ATXN7L1,IKZF2,RERE,ZNF124,USP49,DMBX1,NAA25,ARHGAP42,SHANK3,MLLT6,BCAP29,PRPF40B,AP002348.1,AHDC1,COL18A1,ZNF341,MKNK1-AS1,TLE2,DLX4,ZNF513,GPR160,UST,CAPN8,PHF15,TCF4,RP1-27O5.3,VRK1,RP11-276E15.4,TMEM92,AC005592.2,FOXO1B,RP11-65J3.2,CROCC,SMAD1,FAN1,EBF4,CTB-58E17.3,RP1-309F20.3,COL4A1,SNX30,NOVA2,INO80D,RN7SL783P,NUFIP2,MCU,CSNK2A2,SLC20A2,SBNO2,ZSWIM6,RRP36,TFAP4,GNAS,MED13L,MXI1,SNRK,NOG,GRIK4,IRS1,ROCK2,SYT7,ELK3,RP4-593H12.1,MGAT3,TRPS1,RP11-459F6.1,RP4-553F4.2,PDE4B,IGDCC4,EDIL3,BAI3
UP00007_1_Egr1_primary	7.4345e-29	8.3585e-27	248	1764	44121	725456	12.33%	5.73%	FAM160A1,CTD-2383M3.1,KLK15,SCRT1,SLC30A4,SEMA4D,RP11-52B19.8,AHDC1,SPIN1,RP11-610P16.1,VRK1,EXT1,AC005592.2,EDEM2,CSNK2A2,ADCY6,ARID1A,ELK3,L3MBTL3,RP11-459F6.1,RP11-535A5.1,RP11-770J1.4,FOXO1B,RPL39P33,NOVA2,PROS1,KMT2A,CRADD,RP11-459E5.1,USP49,SLC9A1,EGR3,FAT1,AP002348.1,HRH1,DLX4,SNX30,RP11-127H5.1,TCF4,TMEM92,AC025627.7,NUFIP2,RP11-1113L8.1,TFAP4,MED13L,NOG,RP4-593H12.1,MGAT3,RP11-276E15.4,ATXN2,ATXN1,TLE2,SMAD3,SHROOM3,TBX1,THSD7A,NAA25,BCAP29,RP11-52B19.10,PRPF40B,MKNK1-AS1,DUSP4,BCOR,ANKS1B,TRPS1,SNRK,GRIK4,AC011523.2,MCC,LIMS2,AP1S3,DMBX1,ARHGAP42,MLLT6,C12ORF49,RP11-298I3.5,GPC3,RP1-27O5.3,COL18A1,EBF4,CTB-58E17.3,TNFRSF11A,INO80D,SHANK3,SHANK1,USPL1,MXI1,ZNF710,RNFT2,ROCK2,MCU,LAMTOR3,IGDCC4
MA0516.1.SP2	1.5865e-25	1.5607e-23	490	1522	118570	651007	24.35%	15.41%	LSMD1,FAM160A1,CTD-2383M3.1,KLK15,SCRT1,SLC30A4,SEMA4D,AHDC1,ARHGAP22,MBNL3,SPIN1,CAPN8,RP11-610P16.1,VRK1,EXT1,AC005592.2,DAND5,EDEM2,SEC24B,CSNK2A2,ADCY6,BMP4,ARID1A,SYT7,ELK3,L3MBTL3,RP11-459F6.1,RP11-535A5.1,SNX30,RP11-770J1.4,RP11-395N3.2,NOVA2,PROS1,RP1-27O5.3,RP11-459E5.1,USP49,SLC9A1,EGR3,AP002348.1,HRH1,ZNF513,GPR160,RP11-127H5.1,TCF4,TMEM92,PHRF1,AC025627.7,COL4A1,CCDC9,NUFIP2,MIR3191,TFAP4,GNAS,MED13L,RP4-593H12.1,MGAT3,AC109333.10,RP11-276E15.4,ATXN2,SEC24B-AS1,LAMTOR3,EPHX1,TLE2,EIF2B5,SMAD1,SMAD3,TBX1,ATXN7L1,IKZF2,SLC52A1,THSD7A,NAA25,BCAP29,PRPF40B,RP11-1113L8.1,ZNF341,DUSP4,EFNA5,PTCHD2,BCOR,ANKS1B,ATXN1,RP11-252I13.2,TRPS1,RRP36,SNRK,GRIK4,IRS1,AC011523.2,LIMS2,RP3-525N10.2,UST,GLTSCR1L,RERE,ZNF124,ARHGAP42,MLLT6,TMEM255B,C12ORF49,RP11-298I3.5,VPS13D,GPC3,LRP12,KMT2A,COL18A1,EBF4,CTB-58E17.3,TNFRSF11A,INO80D,RN7SL783P,SHANK3,SHANK1,SLC20A2,BAI3,USPL1,MXI1,RP1-309F20.3,ZNF710,RNFT2,ROCK2,RP4-553F4.2,MCU,NFIX,IGDCC4
MA0527.1.ZBTB33	7.4697e-22	6.5318e-20	91	1921	10583	758994	4.52%	1.38%	AC011523.2,GRIK4,RPS19,DAND5,CTD-2383M3.1,SMAD3,TBX1,SLC30A4,SEMA4D,RP11-52B19.8,ARHGAP42,AL353803.1,RP11-52B19.10,L3MBTL3,AP002348.1,ZNF341,RP11-65J3.2,RP11-127H5.1,VRK1,TMEM92,AC005592.2,PHRF1,AC025627.7,CROCC,RP11-230C9.2,TRPS1,KLK15,NUFIP2,RP11-1113L8.1,SHANK1,SLC20A2,ADCY6,BMP4,TFAP4,MED13L,ARID1B,ZNF710,ROCK2,ELK3,FAT1,RP11-535A5.1,RP4-553F4.2,NFIX,IGDCC4,ATXN1
UP00088_1_Plagl1_primary	3.6452e-19	2.8688e-17	126	1886	19667	749910	6.26%	2.56%	LSMD1,AC011523.2,RP11-395N3.2,RPS19,KMT2A,SMAD3,LIMS2,TBX1,AP1S3,SLC30A4,SEMA4D,THSD7A,USP49,RP1-309F20.3,MLLT6,MLH3,AP002348.1,AHDC1,ARHGAP22,RP11-298I3.5,DLX4,VPS13D,GPR160,SPIN1,RP1-27O5.3,VRK1,RP11-328M4.2,TMEM92,PHRF1,EBF4,CTB-58E17.3,TNFRSF11A,COL4A1,SNX30,RN7SL783P,SHANK3,SHANK1,SBNO2,ADCY6,TRPS1,RRP36,TFAP4,GNAS,ARID1A,GRIK4,IRS1,ROCK2,RP11-328M4.3,RP11-276E15.4,KLK15,EDEM2,IGDCC4,SNRK
